posicao,score,compatibilidade,nivel,titulo,empresa,localizacao,fonte,link,matches
1,7,MEDIA,estagiario,Estagiáriode Suporte e Infraestrutura deTI,Nao informado,Nao informado,Vagas.com,https://www.vagas.com.br/vagas/v2817141/estagiario-de-suporte-e-infraestrutura-de-ti,suporte; nivel:estagiario; area:TI
2,5,BAIXA,estagiario,EstágioNível Superior e  Técnico| Montes Claros - MG,Nao informado,Nao informado,Vagas.com,https://www.vagas.com.br/vagas/v2813913/estagio-nivel-superior-e-tecnico-montes-claros-mg,tecnico; nivel:estagiario
3,4,BAIXA,estagiario,EstágioemTI- Desenvolvimento,Nao informado,Nao informado,Vagas.com,https://www.vagas.com.br/vagas/v2817642/estagio-em-ti-desenvolvimento,nivel:estagiario; area:TI
4,4,BAIXA,estagiario,EstágioemTI(Inteligência Artificial),Nao informado,Nao informado,Vagas.com,https://www.vagas.com.br/vagas/v2819860/estagio-em-ti-inteligencia-artificial,nivel:estagiario; area:TI
5,4,BAIXA,estagiario,Estagiário(a) em Engenharia eTecnologia- Barra da Tijuca/RJ,Nao informado,Nao informado,Vagas.com,https://www.vagas.com.br/vagas/v2814854/estagiario-a-em-engenharia-e-tecnologia-barra-da-tijuca-rj,nivel:estagiario; area:TI
6,4,BAIXA,estagiario,EstágioNível Superior -TI| Montes Claros,Nao informado,Nao informado,Vagas.com,https://www.vagas.com.br/vagas/v2815812/estagio-nivel-superior-ti-montes-claros,nivel:estagiario; area:TI
7,4,BAIXA,estagiario,Jovem Aprendiz emTI,Nao informado,Nao informado,Vagas.com,https://www.vagas.com.br/vagas/v2812645/jovem-aprendiz-em-ti,nivel:estagiario; area:TI
8,4,BAIXA,estagiario,EstagiarioNível Superior - Administrativo Comercial,Nao informado,Nao informado,Vagas.com,https://www.vagas.com.br/vagas/v2814021/estagiario-nivel-superior-administrativo-comercial,nivel:estagiario; area:TI
9,4,BAIXA,estagiario,Student Trainee (Information Technology) - CES Intern,Defense Information Systems Agency,"Fort George G. Meade, Maryland, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/student-trainee-information-technology-ces-intern-at-defense-information-systems-agency-4426250087?position=44&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=w4iKgGF08HigmJI1tx8c7w%3D%3D,nivel:estagiario; area:TI
10,4,BAIXA,estagiario,Aprendiz Administrativo,Grupo Technocoat,"Costa Mesa, Califórnia, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/aprendiz-administrativo-at-grupo-technocoat-4417122766?position=49&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=Q4SryQyC96zSkRgO6F3cPA%3D%3D,nivel:estagiario; area:TI
