titulo,empresa,localizacao,link,termo_busca,fonte,score,compatibilidade,matches
EstágioemTI- Desenvolvimento,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2817642/estagio-em-ti-desenvolvimento,Estagio TI,Vagas.com,4,BAIXA,nivel:estagiario; area:TI
Estágio-Tecnologiada Informação,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2819464/estagio-tecnologia-da-informacao,Estagio TI,Vagas.com,2,MINIMA,nivel:estagiario
Estagiáriode Suporte e Infraestrutura deTI,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2817141/estagiario-de-suporte-e-infraestrutura-de-ti,Estagio TI,Vagas.com,7,MEDIA,suporte; nivel:estagiario; area:TI
Estágio-Tecnologiada Informação (Sistemas),Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2816885/estagio-tecnologia-da-informacao-sistemas,Estagio TI,Vagas.com,2,MINIMA,nivel:estagiario
Estágioem Engenharia deTecnologiae Processos,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2819024/estagio-em-engenharia-de-tecnologia-e-processos,Estagio TI,Vagas.com,2,MINIMA,nivel:estagiario
EstágioemTI(Inteligência Artificial),Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2819860/estagio-em-ti-inteligencia-artificial,Estagio TI,Vagas.com,4,BAIXA,nivel:estagiario; area:TI
Estagiário(a) em Engenharia eTecnologia- Barra da Tijuca/RJ,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2814854/estagiario-a-em-engenharia-e-tecnologia-barra-da-tijuca-rj,Estagio TI,Vagas.com,4,BAIXA,nivel:estagiario; area:TI
EstágioNível Superior -TI| Montes Claros,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2815812/estagio-nivel-superior-ti-montes-claros,Estagio TI,Vagas.com,4,BAIXA,nivel:estagiario; area:TI
Programa deEstágio2026 - Projetos de Inteligência | Sistemas de Informação - Ciência daComputação,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2819158/programa-de-estagio-2026-projetos-de-inteligencia-sistemas-de-informacao-ciencia-da-computacao-engenharia,Estagio TI,Vagas.com,2,MINIMA,nivel:estagiario
Jovem Aprendiz emTI,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2812645/jovem-aprendiz-em-ti,Estagio TI,Vagas.com,4,BAIXA,nivel:estagiario; area:TI
Programa deEstágioB3 - 2026,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2783038/programa-de-estagio-b3-2026,Estagio TI,Vagas.com,2,MINIMA,nivel:estagiario
Estagiário- Engenharias,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2818124/estagiario-engenharias,Estagio TI,Vagas.com,2,MINIMA,nivel:estagiario
Estagiário(a) de Projetos,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2817933/estagiario-a-de-projetos,Estagio TI,Vagas.com,2,MINIMA,nivel:estagiario
